apt_code,apt_name,total_households,completion_date,district,total_buildings,land_address,road_address,latitude,longitude,construction_company,heating_type,max_floor,min_floor,parking_per_household,area_list
927f5d20,은마,4424세대,1979-08-01,서울시 강남구 대치동,28,서울시 강남구 대치동 316,서울시 강남구 삼성로 212,37.49781,127.06502,한보주택,"지역난방, 열병합",14,14,1.12,"101,115"
b1276056,DMC파크뷰자이,4300세대 (장기전세 750세대 포함),2015-10-01,서울시 서대문구 남가좌동,61,서울시 서대문구 남가좌동 385,서울시 서대문구 가재울미래로 2,37.572837,126.917612,"GS건설(주), SK건설(주), 현대산업개발(주)","지역난방, 열병합",33,9,1.35,"82A-3,82A-6,83A-2,83A-5,84A-4,84A-1,110E-2,110B-2,110A-2,110B-3,110A-3,111F-1,111E-1,111C,112D-1,112E-4,112E-3,152B-1,153A-1,157,194,208"
3ef49341,고덕아르테온,4066세대 (장기전세 108세대 포함),2020-02-01,서울시 강동구 상일동,41,서울시 강동구 상일동 519,서울시 강동구 고덕로 360,37.554229,127.168638,"현대건설(주),대림산업(주)","지역난방, 열병합",34,9,1.57,"80D,81A,81B,81C,113A,114B,114D,114C,152"
f3bb1452,"미륭,미성,삼호3차",3930세대,1986-06-01,서울시 노원구 월계동,32,서울시 노원구 월계동 13,서울시 노원구 마들로 59,37.622213,127.067824,"미륭건설,라이프주택,삼호건설","지역난방, 열병합",14,5,0.61,"43,68,71,78"
bf6bece1,잠실주공5단지,3930세대,1978-04-01,서울시 송파구 잠실동,30,서울시 송파구 잠실동 27,서울시 송파구 송파대로 567,37.515768,127.093913,대한주택공사,"지역난방, 열병합",15,15,1.0,"112A,112B,115T,119B,119A"
63d3caf8,마포래미안푸르지오,3885세대 (장기전세 661세대 포함),2014-09-01,서울시 마포구 아현동,51,서울시 마포구 아현동 777,서울시 마포구 마포대로 195,37.553341,126.953153,"(주)대우건설, 삼성물산(주)","개별난방, 도시가스",30,8,1.16,"80A,80C,80B,80E,80F,81D,110A,112C,113B,113E,114D,149A,150C,150B,189A"
f042d5a5,SK북한산시티,3830세대,2004-05-01,서울시 강북구 미아동,47,서울시 강북구 미아동 1353,서울시 강북구 솔샘로 174,37.61831,127.012945,에스케이건설㈜,"개별난방, 도시가스",25,16,1.25,"81A,109,111C,111A,111B,142"
f7e5d87f,성산시영,3710세대,1986-06-01,서울시 마포구 성산동,33,서울시 마포구 성산동 446,서울시 마포구 월드컵북로 235,37.569122,126.902197,"대우(주),선경건설,유원건설","중앙난방, 도시가스",14,14,0.8,"66,71,77"
fda3ab11,트리지움,3696세대,2007-08-01,서울시 송파구 잠실동,46,서울시 송파구 잠실동 35,서울시 송파구 잠실로 62,37.509811,127.088393,현대건설(주)외2,"지역난방, 열병합",32,19,1.32,"84,110,110A,110B,143,180"
5c41efbc,고덕래미안힐스테이트,3658세대 (장기전세 211세대 포함),2016-12-01,서울시 강동구 고덕동,51,서울시 강동구 고덕동 688,서울시 강동구 아리수로50길 50,37.559113,127.148904,"삼성물산(주),현대건설(주)","지역난방, 열병합",35,15,1.63,"82P,82TWB,82TWA,94TR,99P,115D,115P,115A,115B,115P1,115C,132A,132B,132C,138PH,140TR,148,161,194,221B,223A,263"
061f9e32,반포주공1단지,3590세대,1973-01-01,서울시 서초구 반포동,99,서울시 서초구 반포동 1124,서울시 서초구 신반포로 32,37.500802,126.988427,대한주택공사,"중앙난방, 도시가스",6,5,0.55,"72,105,138,204"
d5d890a8,관악드림타운,3544세대,2003-09-01,서울시 관악구 봉천동,44,서울시 관악구 봉천동 1712,서울시 관악구 성현로 80,37.490479,126.95056,"동아건설산업(주),삼성물산","개별난방, 도시가스",27,10,1.52,"80,82D,82A,82B,106,109,127,141"
26dd6d98,중계그린,3481세대,1990-09-01,서울시 노원구 중계동,25,서울시 노원구 중계동 502-1,서울시 노원구 동일로207길 18,37.644692,127.063215,,"지역난방, 열병합",15,7,0.51,"54B,56A,56C,62,69A,70B,81B,83A,84,84C"
b8d5cc3e,반포자이,3410세대 (장기전세 419세대 포함),2009-03-01,서울시 서초구 반포동,44,서울시 서초구 반포동 20-43,서울시 서초구 신반포로 270,37.507537,127.013604,GS건설(주),"지역난방, 열병합",29,20,1.78,"84A,84B,116A,116C,116B,116D,165A,166B,199B,200A,232A,232B,264,297,301A,301B"
6fda8ac1,행당대림,3404세대 (장기전세 1005세대 포함),2000-12-01,서울시 성동구 행당동,35,서울시 성동구 행당동 347,서울시 성동구 행당로 79,37.557758,127.027282,대림산업(주),"개별난방, 도시가스",15,5,0.98,"83,104,137"
ead0b389,개포프레지던스자이,3375세대 (장기전세 220세대 포함),2023-02-01,서울시 강남구 개포동,35,서울시 강남구 개포동 189번지 일원,서울시 강남구,37.48525,127.071619,㈜GS건설,"지역난방, 열병합",35,7,1.73,"59,68,74,79A,79B,79C,102A,102B,102C,110A,110B,112P,133A,134B,143,148A,149C,149B,150P,171,243"
ec5b4e4f,보람,3315세대,1988-06-01,서울시 노원구 상계동,21,서울시 노원구 상계동 639,서울시 노원구 한글비석로 479,37.664735,127.064778,대한주택공사,"지역난방, 열병합",15,15,0.28,"62,77,94,107"
ff0e7b2c,DMC래미안e편한세상,3293세대 (장기전세 629세대 포함),2012-10-01,서울시 서대문구 북가좌동,51,서울시 서대문구 북가좌동 481,서울시 서대문구 수색로 100,37.573622,126.911381,"삼성물산(주),대림산업(주)","지역난방, 열병합",35,7,1.47,"87,108B,110A,110D,111B,112C,113E,113D,114F,114A,152A,153B,154C,159A,187,195,267"
7423a27d,강동롯데캐슬퍼스트,3226세대,2008-09-01,서울시 강동구 암사동,40,서울시 강동구 암사동 414-2,서울시 강동구 고덕로 131,37.556494,127.140818,롯데건설(주),"개별난방, 도시가스",34,24,1.41,"87A,87B,112B,112A,113C,113D,113I,132I,134A,145A,145I,169I,198I"
136f7f66,신동아1단지,3169세대,1986-12-01,서울시 도봉구 방학동,30,서울시 도봉구 방학동 272,서울시 도봉구 방학로 193,37.660704,127.02865,신동아건설(주),"개별난방, 도시가스",15,10,1.48,"58,71,73,83,97,112,131,146"
7dd7fdfe,목동신시가지14단지,3100세대,1987-07-01,서울시 양천구 신정동,34,서울시 양천구 신정동 329,서울시 양천구 목동동로 130,37.514704,126.873293,미성건설,"지역난방, 열병합",20,15,0.59,"75,91C,93B,93A,101E,107,109A,109C,110B,129A,130B,153,164,182"
6179bb0d,목동센트럴아이파크위브,3045세대 (장기전세 542세대 포함),2020-03-01,서울시 양천구 신월동,35,서울시 양천구 신월동 551,서울시 양천구 남부순환로83길 17,37.516804,126.843515,"현대산업개발,두산건설","개별난방, 도시가스",23,6,1.14,"76A,76B,76C,77E,77D,77F,84E,84B,84H,85D,85G,85F,85A,85C,101,109K,109N,110J,110A,110E,110L,110H,110C,110M,111I,111D,111G,111F,111B,130"
f6b27be5,그랑빌,3003세대,2002-10-01,서울시 노원구 월계동,25,서울시 노원구 월계동 18,서울시 노원구 마들로 31,37.618603,127.068209,"(주)한진중공업건설,(주)한화건설","개별난방, 도시가스",28,12,1.31,"82B,82A,98,109A,109B,145,168"
1ca1f9a1,도곡렉슬,3002세대,2006-01-01,서울시 강남구 도곡동,34,서울시 강남구 도곡동 527,서울시 강남구 선릉로 221,37.493868,127.050944,GS건설(주)외2,"지역난방, 열병합",25,16,1.47,"86B,86A,86D,88A1,88B1,88C,109A1,109B,110B1,111A,143A,143C,143B,167,170,225"
896e5712,선사현대,2938세대,2000-06-01,서울시 강동구 암사동,16,서울시 강동구 암사동 509,서울시 강동구 상암로 11,37.552447,127.125871,"현대건설(주), 현대산업개발(주)","개별난방, 도시가스",28,9,1.02,"80B,81A,99,113E,113D,114G,114F,141"
4e64414d,창동주공3단지,2856세대,1990-09-01,서울시 도봉구 창동,32,서울시 도봉구 창동 347,서울시 도봉구 해등로 50,37.649799,127.043909,대한주택공사,"지역난방, 열병합",15,5,0.53,"58A,59B,60,63,71,72A,74B,77,80A,82B,85A,85,92,101,105"
e7638e5a,개포주공4단지,2840세대,1982-11-01,서울시 강남구 개포동,58,서울시 강남구 개포동 189,서울시 강남구 삼성로 14,37.485216,127.071623,대한주택공사,"개별난방, 도시가스",5,5,0.4,"35,42,50"
4b565b57,상계주공9단지,2830세대,1988-10-01,서울시 노원구 상계동,23,서울시 노원구 상계동 670,서울시 노원구 노원로 532,37.663258,127.059219,대한주택공사,"지역난방, 열병합",15,12,0.72,"58A,60C,60B,64,70,72A,73B,81,85,92,105"
04641402,벽산5단지,2810세대,2004-08-01,서울시 금천구 시흥동,25,서울시 금천구 시흥동 1013,서울시 금천구 금하로 816,37.448874,126.919203,벽산건설주식회사,"개별난방, 도시가스",20,15,1.11,"76,99,129"
a03c10c0,레이크팰리스,2678세대,2006-12-01,서울시 송파구 잠실동,35,서울시 송파구 잠실동 44,서울시 송파구 잠실로 88,37.509504,127.094972,삼성물산(주),"지역난방, 열병합",32,19,1.53,"86A,86B,114,144,166A,167B"
fbbd96bf,도봉한신,2678세대,1995-09-01,서울시 도봉구 도봉동,25,서울시 도봉구 도봉동 30-1,서울시 도봉구 마들로 859-19,37.686235,127.047966,한신공영(주),"개별난방, 도시가스",17,11,1.29,"95,102A,102B,104C"
4b8cb7c3,상계주공10단지,2654세대,1988-09-01,서울시 노원구 상계동,27,서울시 노원구 상계동 666,서울시 노원구 노원로 564,37.662829,127.056301,대한주택공사,"지역난방, 열병합",15,5,0.46,"52(저층),60(저층),60,63B,64A,70,76A,76B,80,82C,85A,85B,92,96"
13e23309,래미안위브,2652세대 (장기전세 453세대 포함),2014-10-01,서울시 동대문구 답십리동,32,서울시 동대문구 답십리동 1003,서울시 동대문구 답십리로 130,37.571291,127.05386,"삼성물산(주),두산건설(주)","개별난방, 도시가스",22,9,1.19,"82C,84B,85A,109B,109C,111A,150B,150C,151A,170"
5ccefb5c,상계주공6단지,2646세대,1988-05-01,서울시 노원구 상계동,28,서울시 노원구 상계동 728-3,서울시 노원구 동일로 1384,37.65395,127.065876,대한주택공사,"지역난방, 열병합",15,9,0.3,"45,57A,58B,59C,69,76B,76C,76A,80"
f610d349,상계주공7단지,2634세대,1988-07-01,서울시 노원구 상계동,21,서울시 노원구 상계동 692,서울시 노원구 동일로 1456,37.65798,127.060612,대한주택공사,"지역난방, 열병합",15,15,0.72,"58,60C,60B,60A,63,71,73,80,82,105"
87ee4512,강서힐스테이트,2603세대,2015-08-01,서울시 강서구 화곡동,37,서울시 강서구 화곡동 1165,서울시 강서구 우현로 67,37.546914,126.839257,현대건설(주),"지역난방, 열병합",21,8,1.68,"82,111A,111C,111E,112F,112D,112B,151,160A,160E,161B,161D,161C,184"
1b56d19b,녹번역e편한세상캐슬,2569세대 (장기전세 390세대 포함),2020-05-01,서울시 은평구 응암동,32,서울시 은평구 응암동 36,서울시 은평구 은평로 220,37.599268,126.932044,"대림산업(주),롯데건설(주)","개별난방, 도시가스",23,8,1.13,"66,81C,83A,84B,110A,113B,114C,115D,129,152"
d736d6ae,목동신시가지7단지,2550세대,1986-11-01,서울시 양천구 목동,34,서울시 양천구 목동 925,서울시 양천구 목동로 212,37.527957,126.86713,"한일건설,경남기업","지역난방, 열병합",15,5,0.5,"72,74,78,89A,89B,90C,106,121"
886a51e0,도시개발2단지,2547세대 (장기전세 1563세대 포함),1993-10-01,서울시 강서구 방화동,18,서울시 강서구 방화동 839,서울시 강서구 방화대로48길 40,37.574927,126.819006,진로건설(주),"지역난방, 열병합",15,15,0.38,"43A,44B,52A,65"
e27b2214,"센트라스1,2차",2529세대 (장기전세 432세대 포함),2016-11-01,서울시 성동구 하왕십리동,30,서울시 성동구 하왕십리동 1070,서울시 성동구 왕십리로 410,37.566563,127.024787,"현대건설(주),에스케이건설(주),(주)포스코건설","개별난방, 도시가스",28,4,1.19,"57,78A,78H,83C,83B,87D,87F,88E,88G,109E,110B,110I,110F,110D,110C,111A,116G,116H,149"
c56811cd,우장산아이파크e편한세상,2517세대,2008-01-01,서울시 강서구 화곡동,42,서울시 강서구 화곡동 1159,서울시 강서구 강서로 266,37.54939,126.839112,"대림산업(주),현대산업개발(주)","지역난방, 열병합",23,7,1.31,"79D,79D1,107C,107C1,107C2,107C3,107C4,125B,136A-N,136A-S"
6a3283d0,영등포푸르지오,2462세대,2002-05-01,서울시 영등포구 영등포동,31,서울시 영등포구 영등포동 647,서울시 영등포구 도신로29길 28,37.511811,126.903536,주식회사대우건설,"개별난방, 도시가스",23,17,1.03,"85,100,109,115A,115B"
6170aca1,서원,2450세대 (장기전세 734세대 포함),1996-10-01,서울시 도봉구 도봉동,16,서울시 도봉구 도봉동 641,서울시 도봉구 마들로 684-20,37.670869,127.047617,(주)삼익,"지역난방, 도시가스",18,5,1.0,"56A,56B,72A,72A1,72B,72C,85B,85A,85C"
460337a5,래미안퍼스티지,2444세대 (장기전세 266세대 포함),2009-07-01,서울시 서초구 반포동,28,서울시 서초구 반포동 18-1,서울시 서초구 반포대로 275,37.503005,126.999724,삼성물산(주),"지역난방, 열병합",32,23,1.78,"86T2,87P,87T1,113L1,113T2,113T1,114L2,114P,147T1,148T2,172T1,173T2,205T1,205T2,238T1,238T2,268T1,268T2"
ff99ce2e,"한보미도맨션1,2차",2436세대,1983-11-01,서울시 강남구 대치동,21,서울시 강남구 대치동 511,서울시 강남구 삼성로 150,37.493541,127.067515,한보주택(주),"지역난방, 열병합",14,14,1.18,"113A,114B,135,148,152,183,188,217,220"
4082fe4d,중계무지개,2433세대,1991-11-01,서울시 노원구 중계동,14,서울시 노원구 중계동 513,서울시 노원구 동일로208길 19,37.64367,127.066073,도시개발공사,"지역난방, 열병합",15,10,0.35,"56A,57B,71A,71B,83"
0fcb9e3c,현대,2412세대,2001-08-01,서울시 구로구 개봉동,31,서울시 구로구 개봉동 481,서울시 구로구 개봉로20길 6,37.492452,126.85836,현대건설(주),"개별난방, 도시가스",25,8,1.26,"82,109,146"
86639bcd,삼익그린맨션2차,2400세대,1983-12-01,서울시 강동구 명일동,18,서울시 강동구 명일동 15,서울시 강동구 고덕로 210,37.552103,127.148996,삼익주택(주),"중앙난방, 도시가스",15,12,0.94,"59,76,90,100,123,125,148"
4c04f10c,래미안크레시티,2397세대 (장기전세 413세대 포함),2013-04-01,서울시 동대문구 전농동,31,서울시 동대문구 전농동 690,서울시 동대문구 사가정로 65,37.575715,127.052544,삼성물산,"개별난방, 도시가스",23,8,1.2,"84C,85A,85B,112A,112C,113B,153A,153C,154B"
45370d41,상계주공16단지,2392세대,1988-09-01,서울시 노원구 상계동,18,서울시 노원구 상계동 624,서울시 노원구 동일로227길 86,37.669392,127.052148,대한주택공사,"지역난방, 열병합",15,15,0.5,"63,80,82,105"
63c4d17f,삼풍,2390세대,1988-07-01,서울시 서초구 서초동,24,서울시 서초구 서초동 1685,서울시 서초구 서초중앙로 200,37.499178,127.016032,"현대,우성","지역난방, 열병합",15,9,0.0,"107,151,154,185,189,192"
d0d328b2,래미안길음센터피스,2352세대 (장기전세 633세대 포함),2019-02-01,서울시 성북구 길음동,24,서울시 성북구 길음동 498,서울시 성북구 숭인로 50,37.610998,127.028063,삼성물산(주),"개별난방, 도시가스",39,8,1.1,"83A,83B,83C,84D,117E,117F,117A,117B,118C,118D,143,151,168"
4b45c5d4,벽산1단지,2336세대 (장기전세 564세대 포함),2000-02-01,서울시 금천구 시흥동,18,서울시 금천구 시흥동 1010,서울시 금천구 금하로 793,37.450628,126.919049,벽산건설(주),"개별난방, 도시가스",20,16,0.69,"86,105,142"
afc28068,중계주공5단지,2328세대,1992-04-01,서울시 노원구 중계동,18,서울시 노원구 중계동 359-1,서울시 노원구 중계로 230,37.653295,127.076616,대한주택공사,"지역난방, 열병합",15,15,1.0,"50,58A,59B,80,94,104"
330d279d,"신도림대림1,2차(e편한세상)",2298세대,1999-11-01,서울시 구로구 신도림동,27,서울시 구로구 신도림동 642,서울시 구로구 신도림로 16,37.505825,126.880347,대림산업(주),"개별난방, 도시가스",27,19,1.19,"78A,78B,82A,82B,108,126,163"
b2020c1e,개포래미안포레스트,2296세대 (장기전세 120세대 포함),2020-09-01,서울시 강남구 개포동,31,서울시 강남구 개포동 656,서울시 강남구,37.478479,127.05403,삼성물산(주),"지역난방, 열병합",35,7,1.7,"74,85B,86A,101,115A,115B,116C,116D,128A,129B,135A,136B,148A,149B,174"
49e9d2b4,고덕리엔파크3단지,2283세대 (장기전세 1814세대 포함),2011-01-01,서울시 강동구 상일동,41,서울시 강동구 상일동 490,서울시 강동구 상일로 74,37.553829,127.175132,신동아건설(주),"지역난방, 열병합",20,7,1.13,"79A,79B,111D,111A,111B,112C,150C"
2de1fddc,약수하이츠,2282세대 (장기전세 684세대 포함),1999-07-01,서울시 중구 신당동,19,서울시 중구 신당동 842,서울시 중구 동호로10길 30,37.554915,127.01478,동아건설산업(주),"개별난방, 도시가스",20,8,0.91,"80,92,107,141"
b682d89f,목동신시가지13단지,2280세대,1987-07-01,서울시 양천구 신정동,33,서울시 양천구 신정동 327,서울시 양천구 목동동로 100,37.51451,126.866625,선경건설(주),"지역난방, 열병합",15,5,0.7,"66,89,99,115A,122B,125,149C,149B,155,181C,181A,181B"
15e8fd82,관악산휴먼시아2단지,2265세대,2008-03-01,서울시 관악구 신림동,32,서울시 관악구 신림동 1735,서울시 관악구 난곡로 55,37.459395,126.919933,"신동아건설(주),금호산업(주)","개별난방, 도시가스",20,13,1.21,"80A,81B,103A,105B,112B,113A,131,135,147"
f6986144,상계주공14단지,2265세대,1989-04-01,서울시 노원구 상계동,26,서울시 노원구 상계동 626,서울시 노원구 동일로228길 23,37.669477,127.058369,대한주택공사,"지역난방, 열병합",15,5,0.28,"58,60A,60B,71,74B,77A,85,100,118"
54803713,신월시영,2256세대,1988-04-01,서울시 양천구 신월동,20,서울시 양천구 신월동 987-1,서울시 양천구 신월로 99,37.51834,126.832649,한보주택,"지역난방, 열병합",12,12,0.29,"59,69,81"
06254c13,상계주공3단지,2213세대,1987-11-01,서울시 노원구 상계동,26,서울시 노원구 상계동 730-2,서울시 노원구 동일로215길 48,37.652067,127.057978,대한주택공사,"지역난방, 열병합",15,5,0.5,"45,58C,58A,59B,67,76B,76C,76A,78D,80,83,91,95,97A,99B,111A,111B"
cb5e1d50,우장산힐스테이트,2198세대,2005-05-01,서울시 강서구 내발산동,40,서울시 강서구 내발산동 657,서울시 강서구 강서로 348,37.556255,126.840704,"현대건설(주),현대산업개발(주),한진건설","개별난방, 도시가스",21,15,1.26,"79,109,112,132,158"
bede897f,월곡두산위브,2197세대,2003-04-01,서울시 성북구 하월곡동,30,서울시 성북구 하월곡동 222,서울시 성북구 오패산로 46,37.60712,127.038702,(주)두산건설,"개별난방, 도시가스",20,11,1.23,"82,109NS,109A,109B,110C,140"
83f215c8,장안현대홈타운1차,2182세대,2003-10-01,서울시 동대문구 장안동,22,서울시 동대문구 장안동 336,서울시 동대문구 장안벚꽃로 107,37.569448,127.074754,현대건설주식회사,"개별난방, 도시가스",28,12,1.37,"75C2,76C1,76C,107B,108B1,142,168"
3ba08161,주공고층4단지,2180세대,1980-12-01,서울시 강동구 둔촌동,37,서울시 강동구 둔촌동 172-1,서울시 강동구 양재대로 1340,37.523263,127.142049,대한주택공사,"중앙난방, 도시가스",10,10,1.0,"77,83,106,109T,109I"
34f22335,화곡푸르지오,2176세대,2002-10-01,서울시 강서구 화곡동,50,서울시 강서구 화곡동 1091,서울시 강서구 화곡로13길 107,37.54479,126.831286,(주)대우건설,"지역난방, 열병합",15,9,1.91,"114B,117A,125,136A,137B,164A,165C,165B,186,204,235"
49eca69c,목동신시가지10단지,2160세대,1987-07-01,서울시 양천구 신정동,34,서울시 양천구 신정동 311,서울시 양천구 목동서로 400,37.51774,126.858744,삼호건설,"지역난방, 열병합",15,5,0.64,"73,83B,96A,102A,110B,124A,127B,144A,152B,182A,185B"
6ce32c39,상계주공4단지,2136세대,1988-05-01,서울시 노원구 상계동,17,서울시 노원구 상계동 749-5,서울시 노원구 동일로 1356,37.650506,127.063483,대한주택공사,"지역난방, 열병합",25,9,0.98,"45,57,58C,58A,59B,69,76B,76C,76A,80,88,97A,99B,111A,111B,118"
617b8e34,현대,2134세대,1992-04-01,서울시 관악구 봉천동,26,서울시 관악구 봉천동 1000,서울시 관악구 관악로 304,37.492882,126.95937,현대건설(주),"개별난방, 도시가스",15,12,1.19,"76,94,98B,98A,120,131N,131S,138"
676ae422,행당한진타운,2123세대,2000-11-01,서울시 성동구 행당동,21,서울시 성동구 행당동 346,서울시 성동구 행당로 82,37.555891,127.029129,(주)한진 중공업,"개별난방, 도시가스",25,16,1.22,"86,108,144"
3f40a02b,벽산블루밍1차,2105세대,2005-07-01,서울시 관악구 봉천동,18,서울시 관악구 봉천동 1718,서울시 관악구 은천로 93,37.489519,126.945055,벽산건설(주),"개별난방, 도시가스",25,11,1.06,"78,110,132,149N,149A,149B"
edfadd8d,관악푸르지오,2104세대,2004-08-01,서울시 관악구 봉천동,23,서울시 관악구 봉천동 1717,서울시 관악구 관악로30길 27,37.487335,126.960939,주식회사대우건설,"개별난방, 도시가스",24,17,1.0,"79,83,106A,106B,112,139"
063aa214,장미1차,2100세대,1979-01-01,서울시 송파구 신천동,21,서울시 송파구 신천동 7,서울시 송파구 올림픽로35길 104,37.519002,127.098635,라이프주택,"지역난방, 열병합",14,14,1.0,"92,108,126,150,186,212"
2e814a01,가락쌍용1차,2064세대,1997-03-01,서울시 송파구 가락동,14,서울시 송파구 가락동 140,서울시 송파구 동남로 193,37.495621,127.127623,쌍용건설(주),"중앙난방, 도시가스",24,9,0.96,"81,110"
a2391462,상계주공1단지,2064세대,1988-05-01,서울시 노원구 상계동,24,서울시 노원구 상계동 765,서울시 노원구,37.646912,127.05904,대한주택공사,"지역난방, 열병합",15,5,0.0,"46,59,67,68,76B,76C,76A,78B,80A,83,92B,95A"
a82e730d,북한산아이파크,2061세대,2004-07-01,서울시 도봉구 창동,25,서울시 도봉구 창동 825,서울시 도봉구 도봉로136길 28,37.658636,127.043649,현대산업개발(주),"개별난방, 도시가스",24,17,1.55,"112,136,154,170,172,210"
19fd108a,한가람,2036세대,1998-09-01,서울시 용산구 이촌동,19,서울시 용산구 이촌동 404,서울시 용산구 이촌로 201,37.521884,126.972644,(주)건영,"지역난방, 열병합",22,13,1.06,"85,93,101,111B,111A,142"
06f54a54,목동신시가지9단지,2030세대,1987-07-01,서울시 양천구 신정동,32,서울시 양천구 신정동 312,서울시 양천구 목동서로 340,37.5197,126.864041,"삼익건설,극동","지역난방, 열병합",15,5,0.71,"74,94A,94B,103,108B,122A,128B,129A,151B,152A,161D,173B,181A,188C"
3d4671e7,상계주공2단지,2029세대,1987-11-01,서울시 노원구 상계동,23,서울시 노원구 상계동 746-5,서울시 노원구,37.650233,127.059679,대한주택공사,"지역난방, 열병합",15,4,0.72,"45,54,58C,58A,59B,67B,70A,76B,76C,76A,78B,80A,81A,83B,92,95"
954b7b12,롯데캐슬클라시아,2029세대 (장기전세 351세대 포함),2022-01-01,서울시 성북구 길음동,19,서울시 성북구 길음동 508-16번지 일원,서울시 성북구,37.608502,127.026426,㈜롯데건설,"개별난방, 도시가스",37,11,1.19,"82B,82A,83C,108D,108B,108C,108E,109A,140B,140A"
378e23a6,월계주공2단지,2002세대,1992-10-01,서울시 노원구 월계동,16,서울시 노원구 월계동 556,서울시 노원구 초안산로1길 18,37.628579,127.05234,극동건설(주)외 2개사,"개별난방, 도시가스",15,15,0.69,"50,58B,59A,81A,83B,104"
75d4d0ac,두산,2001세대,2000-12-01,서울시 관악구 봉천동,25,서울시 관악구 봉천동 1708,서울시 관악구 봉천로 387,37.484898,126.943154,두산건설(주),"개별난방, 도시가스",23,15,1.35,"82B,82A,110A,111A,112B,143,159"
084ebe44,두산,1998세대,1998-04-01,서울시 성북구 석관동,25,서울시 성북구 석관동 10,서울시 성북구 화랑로48길 16,37.613145,127.068573,두산건설(주),"개별난방, 도시가스",25,16,1.09,"72,80,108A,108B,163,199"
ad41a1e7,디에이치자이개포,1996세대 (장기전세 306세대 포함),2021-07-01,서울시 강남구 일원동,15,서울시 강남구 일원동 611-1,서울시 강남구,37.490791,127.075083,"지에스건설(주),현대건설(주),현대엔지니어링(주)","개별난방, 도시가스",35,7,0.0,"81A,82C,82B,97A,97E,98C,99D,99B,107D,107I,107E,108B,108A,108F,108C,108H,108G,131A,131C,132B,149A,166A,222A,226A"
